index,NORMALIZED PEDESTRIAN POSITION X,NORMALIZED PEDESTRIAN POSITION Y,NORMALIZED PEDESTRIAN DIRECTION,NORMALIZED PEDESTRIAN SPEED,NORMALIZED CAR SPEED,TTC
38165,4.5,-0.9927713790045621,91.57,4.0,12.0,0.375
38162,4.5,-0.8181838897701279,91.57,4.0,12.0,0.375
38157,4.7068815338159995,-0.5862369323680005,91.57,4.0,12.0,0.2767857142857143
38162,4.5,-0.848649259053315,91.57,4.0,12.0,0.375
13061,3.4449095170919186,-1.0,91.57,2.0,4.0,0.4
13058,3.635434746875754,-0.8411413132810615,91.57,2.0,4.0,0.4166666666666667
13063,4.22669332619842,-1.0,91.57,2.0,4.0,0.4166666666666667
13054,4.771235701465987,-0.5571910746335031,91.57,2.0,4.0,0.4166666666666667
13061,3.425194203601117,-1.0,91.57,2.0,4.0,0.3333333333333333
13064,4.8733392742612605,-1.0,91.57,2.0,4.0,0.4166666666666667
13056,4.263812522356368,-0.6840468694109081,91.57,2.0,4.0,0.4166666666666667
13060,3.01496301194336,-0.99625924701416,91.57,2.0,4.0,0.4166666666666667
13061,3.1276109375144716,-1.0,91.57,2.0,4.0,0.3333333333333333
13061,3.4787267259240027,-1.0,91.57,2.0,4.0,0.3333333333333333
391,3.0082627636170596,-1.0,91.57,0.0,2.0,0.3333333333333333
393,4.071236366599524,-1.0,91.57,0.0,2.0,0.4166666666666667
393,4.005946767279283,-1.0,91.57,0.0,2.0,0.4166666666666667
392,3.9079512016694586,-1.0,91.57,0.0,2.0,0.375
393,2.0468207555163227,-1.1906358488967355,91.57,0.0,2.0,0.4166666666666667
392,3.864726948695802,-1.0,91.57,0.0,2.0,0.4
394,1.6932439562339603,-1.261351208753208,91.57,0.0,2.0,0.4166666666666667
391,3.3566875922773174,-1.0,91.57,0.0,2.0,0.4
392,3.5477941795021617,-1.0,91.57,0.0,2.0,0.4
392,3.6774004781027108,-1.0,91.57,0.0,2.0,0.4166666666666667
513,3.995854545491296,-1.0,92.09,0.0,2.0,0.4
512,3.219960652949244,-1.0,92.09,0.0,2.0,0.375
513,3.812039837826794,-1.0,92.09,0.0,2.0,0.4
513,2.11287058165089,-1.1478549030581848,92.09,0.0,2.0,0.4
513,3.9090426074229443,-1.0,92.09,0.0,2.0,0.375
512,3.169394271378091,-1.0,92.09,0.0,2.0,0.3333333333333333
512,2.6877536070403214,-1.0520410654932797,92.09,0.0,2.0,0.4
